Day,Building,Room,Start Time,End Time
Wednesday,UA,UA3130,8:10,10:10
Wednesday,UA,UA3130,17:00,22:00
Monday,UA,UA2120,18:30,22:00
Monday,UA,UA2240,11:00,12:40
Monday,UA,UA2240,15:30,18:40
Monday,UA,UA2240,21:30,22:00
Wednesday,UA,UA2240,18:30,22:00
Wednesday,J-Building,J102,18:30,22:00
Friday,J-Building,J102,15:30,17:10
Friday,J-Building,J102,18:30,22:00
Tuesday,J-Building,J102,11:00,12:40
Tuesday,J-Building,J102,14:00,15:40
Tuesday,J-Building,J102,18:30,20:10
Tuesday,J-Building,J102,21:00,22:00
Tuesday,UA,UA3230,9:30,11:10
Tuesday,UA,UA3230,17:00,22:00
Thursday,UA,UA3230,8:10,10:10
Thursday,UA,UA3230,15:30,17:10
Thursday,UA,UA3230,20:00,22:00
Thursday,UB,UB2050,8:10,9:40
Thursday,UB,UB2050,14:00,16:10
Thursday,UB,UB2050,17:00,22:00
Monday,ERC,ERC1092,8:10,9:10
Monday,ERC,ERC1092,18:30,22:00
Thursday,ERC,ERC1092,8:10,9:40
Thursday,ERC,ERC1092,18:30,22:00
Wednesday,ERC,ERC1094,17:00,22:00
Monday,UA,UA2230,11:00,12:40
Monday,UA,UA2230,15:30,22:00
Wednesday,UA,UA2230,8:10,9:40
Wednesday,UA,UA2230,14:00,22:00
Wednesday,ERC,ERC2056,8:10,10:10
Wednesday,ERC,ERC2056,15:00,17:10
Wednesday,ERC,ERC2056,20:00,22:00
Thursday,SIRC,2060,20:00,22:00
Monday,UB,UB2080,21:30,22:00
Thursday,UB,UB2080,17:00,18:40
Thursday,UB,UB2080,21:30,22:00
Tuesday,UA,UA1350,8:10,9:40
Tuesday,UA,UA1350,11:00,14:10
Tuesday,UA,UA1350,17:00,22:00
Thursday,UA,UA1350,21:30,22:00
Friday,UA,UA1350,9:30,11:10
Friday,UA,UA1350,17:00,22:00
Friday,J-Building,J127,8:10,9:40
Friday,J-Building,J127,12:00,12:40
Friday,J-Building,J127,15:30,22:00
Monday,SIRC,2060,14:00,15:40
Monday,SIRC,2060,17:00,18:40
Monday,SIRC,2060,20:00,22:00
Wednesday,SIRC,2060,12:30,14:10
Wednesday,SIRC,2060,20:00,22:00
Thursday,UA,UA1220,8:10,11:10
Thursday,UA,UA1220,18:30,22:00
Monday,SIRC,1350,8:10,9:10
Monday,SIRC,1350,11:00,12:40
Monday,SIRC,1350,15:30,22:00
Monday,UL-Building,UL2,8:10,9:10
Monday,UL-Building,UL2,17:00,22:00
Thursday,UA,UA2240,14:00,18:40
Thursday,UA,UA2240,21:30,22:00
Monday,SIRC,2020A,8:10,10:10
Monday,SIRC,2020A,12:30,14:10
Monday,SIRC,2020A,15:30,17:10
Monday,SIRC,2020A,21:30,22:00
Thursday,SIRC,2020A,12:30,14:10
Thursday,SIRC,2020A,15:30,22:00
Monday,UA,UA3120,15:30,18:40
Monday,UA,UA3120,21:30,22:00
Thursday,UA,UA3120,8:10,9:40
Thursday,UA,UA3120,20:00,22:00
Monday,UA,UA2220,8:10,9:40
Monday,UA,UA2220,11:00,14:10
Monday,UA,UA2220,18:30,22:00
Thursday,UA,UA2220,8:10,10:10
Thursday,UA,UA2220,18:30,22:00
Tuesday,UA,UA2130,8:10,9:40
Tuesday,UA,UA2130,14:00,15:40
Tuesday,UA,UA2130,20:00,22:00
Wednesday,UL-Building,UL3,8:10,9:40
Wednesday,UL-Building,UL3,17:00,22:00
Friday,UA,UA2220,8:10,11:10
Friday,UA,UA2220,12:00,14:10
Friday,UA,UA2220,17:00,22:00
Monday,UB,UB4085,8:10,14:10
Monday,UB,UB4085,15:00,22:00
Thursday,UB,UB4085,8:10,10:10
Thursday,UB,UB4085,11:00,12:40
Thursday,UB,UB4085,15:30,22:00
Friday,UA,UA3220,13:00,14:10
Friday,UA,UA3220,17:00,22:00
Wednesday,UL-Building,UL6,8:10,9:40
Wednesday,UL-Building,UL6,13:00,14:10
Wednesday,UL-Building,UL6,17:00,22:00
Friday,UL-Building,UL8,8:10,9:10
Friday,UL-Building,UL8,14:00,15:40
Friday,UL-Building,UL8,17:00,22:00
Tuesday,UB,UB2050,8:10,9:10
Tuesday,UB,UB2050,11:00,14:10
Tuesday,UB,UB2050,15:00,15:40
Tuesday,UB,UB2050,17:00,22:00
Monday,ERC,ERC1054,8:10,10:10
Monday,ERC,ERC1054,15:00,18:40
Monday,ERC,ERC1054,20:00,22:00
Monday,UB,UB2050,8:10,9:40
Monday,UB,UB2050,15:00,15:40
Monday,UB,UB2050,17:00,22:00
Monday,ERC,ERC1056,8:10,9:10
Monday,ERC,ERC1056,12:00,13:10
Monday,ERC,ERC1056,16:00,22:00
Tuesday,UA,UA3130,12:30,14:10
Tuesday,UA,UA3130,17:00,22:00
Thursday,UA,UA3140,17:00,22:00
Wednesday,UA,UA2140,8:10,11:10
Wednesday,UA,UA2140,12:30,14:10
Wednesday,UA,UA2140,15:30,17:10
Wednesday,UA,UA2140,18:30,22:00
Monday,SIRC,3110,15:30,17:10
Monday,SIRC,3110,20:00,22:00
Thursday,SIRC,3110,20:00,22:00
Tuesday,UA,UA1220,8:10,9:40
Tuesday,UA,UA1220,12:30,13:10
Tuesday,UA,UA1220,18:30,22:00
Tuesday,UA,UA2140,20:00,22:00
Thursday,UA,UA2130,8:10,9:40
Thursday,UA,UA2130,18:30,22:00
Monday,UA,UA2130,8:10,11:10
Monday,UA,UA2130,18:30,22:00
Wednesday,UA,UA1240,8:10,9:40
Wednesday,UA,UA1240,15:30,17:10
Wednesday,UA,UA1240,18:30,22:00
Friday,UA,UA1240,18:30,22:00
Tuesday,UA,UA2120,8:10,9:40
Tuesday,UA,UA2120,15:30,17:10
Tuesday,UA,UA2120,20:00,22:00
Thursday,UA,UA2120,8:10,9:40
Thursday,UA,UA2120,17:00,22:00
Friday,UA,UA1140,9:30,11:10
Friday,UA,UA1140,14:00,17:10
Friday,UA,UA1140,20:00,22:00
Friday,UA,UA1220,8:10,9:40
Friday,UA,UA1220,12:30,14:10
Friday,UA,UA1220,20:00,22:00
Tuesday,J-Building,J127,8:10,9:40
Tuesday,J-Building,J127,14:00,22:00
Thursday,J-Building,J127,8:10,9:40
Thursday,J-Building,J127,18:00,22:00
Tuesday,SIRC,1350,8:10,9:40
Tuesday,SIRC,1350,14:00,15:10
Tuesday,SIRC,1350,16:00,17:10
Tuesday,SIRC,1350,18:30,22:00
Thursday,SIRC,1350,8:10,9:40
Thursday,SIRC,1350,16:00,17:10
Thursday,SIRC,1350,18:30,22:00
Monday,UA,UA1240,14:00,15:40
Monday,UA,UA1240,21:30,22:00
Monday,UA,UA2140,17:00,22:00
Monday,ERC,ERC2056,8:10,11:10
Monday,ERC,ERC2056,14:00,15:40
Monday,ERC,ERC2056,18:30,22:00
Monday,UA,UA1220,9:30,11:10
Monday,UA,UA1220,14:00,15:40
Monday,UA,UA1220,20:00,22:00
Tuesday,SIRC,3110,9:00,9:40
Tuesday,SIRC,3110,11:00,14:10
Tuesday,SIRC,3110,15:00,15:40
Tuesday,SIRC,3110,18:30,22:00
Friday,SIRC,3110,18:30,22:00
Tuesday,UA,UA3120,17:00,22:00
Tuesday,SIRC,2060,8:10,9:40
Tuesday,SIRC,2060,12:30,13:10
Tuesday,SIRC,2060,14:00,17:10
Tuesday,SIRC,2060,20:00,22:00
Thursday,UA,UA2230,17:00,22:00
Tuesday,UA,UA1120,8:10,11:10
Tuesday,UA,UA1120,12:30,14:10
Tuesday,UA,UA1120,18:30,22:00
Wednesday,UA,UA3120,12:00,14:10
Wednesday,UA,UA3120,15:30,22:00
Thursday,UA,UA3130,8:10,11:10
Thursday,UA,UA3130,12:00,12:40
Thursday,UA,UA3130,17:00,22:00
Thursday,J-Building,J102,18:30,22:00
Tuesday,UA,UA3140,8:10,10:10
Tuesday,UA,UA3140,12:00,12:40
Tuesday,UA,UA3140,15:30,17:10
Tuesday,UA,UA3140,20:00,22:00
Monday,SIRC,2020B,18:00,22:00
Thursday,UA,UA2140,17:00,22:00
Friday,UA,UA2120,8:10,9:40
Friday,UA,UA2120,18:30,22:00
Wednesday,UB,UB2080,9:00,9:40
Wednesday,UB,UB2080,18:30,22:00
Monday,UA,UA1140,12:30,14:10
Monday,UA,UA1140,17:00,22:00
Wednesday,UA,UA1140,9:30,11:10
Wednesday,UA,UA1140,17:00,22:00
Thursday,UA,UA1120,9:30,11:10
Thursday,UA,UA1120,21:30,22:00
Wednesday,UA,UA3140,8:10,10:10
Wednesday,UA,UA3140,17:00,22:00
Wednesday,SIRC,2020B,8:10,9:40
Wednesday,SIRC,2020B,15:30,22:00
Wednesday,UA,UA2120,8:10,9:40
Wednesday,UA,UA2120,18:30,22:00
Wednesday,SIRC,3110,20:00,22:00
Wednesday,UA,UA1220,8:10,11:10
Wednesday,UA,UA1220,17:00,22:00
Monday,J-Building,J125,11:00,12:40
Monday,J-Building,J125,17:00,22:00
Wednesday,J-Building,J127,8:10,10:10
Wednesday,J-Building,J127,14:00,22:00
Wednesday,ERC,ERC1096,14:00,15:40
Wednesday,ERC,ERC1096,17:00,22:00
Tuesday,UA,UA2240,8:10,11:10
Tuesday,UA,UA2240,14:00,18:40
Tuesday,UA,UA2240,21:30,22:00
Wednesday,SIRC,2020A,8:10,10:10
Wednesday,SIRC,2020A,20:00,22:00
Friday,UA,UA2130,10:00,11:10
Friday,UA,UA2130,15:30,16:10
